Nutrient,Unit of measure,Adults and Children â‰¥ 4 years
Vitamin A,Micrograms RAE2 (mcg),900
Vitamin C,Milligrams (mg),90
Calcium,Milligrams (mg),1300
Iron,Milligrams (mg),18
Vitamin D,Micrograms (mcg)3,20
Vitamin E,Milligrams (mg)4,15
Vitamin K,Micrograms (mcg),120
Thiamin,Milligrams (mg),1.2
Riboflavin,Milligrams (mg),1.3
Niacin,Milligrams NE5 (mg),16
Vitamin B6,Milligrams (mg),1.7
Folate,Micrograms DFE7 (mcg),400
Vitamin B12,Micrograms (mcg),2.4
Biotin,Micrograms (mcg),30
Pantothenic acid,Milligrams (mg),5
Phosphorus,Milligrams (mg),1250
Iodine,Micrograms (mcg),150
Magnesium,Milligrams (mg),420
Zinc,Milligrams (mg),11
Selenium,Micrograms (mcg),55
Copper,Milligrams (mg),0.9
Manganese,Milligrams (mg),2.3
Chromium,Micrograms (mcg),35
Molybdenum,Micrograms (mcg),45
Chloride,Milligrams (mg),2300
Potassium,Milligrams (mg),4700
Choline,Milligrams (mg),550
Fat,Grams (g),78
Saturated fat,Grams (g),20
Cholesterol,Milligrams (mg),300
Total carbohydrates,Grams (g),275
Sodium,Milligrams (mg),2300
Dietary Fiber,Grams (g),28
Protein,Grams (g),50
Added sugars,Grams (g),50